Version,LOCpC,BUG_ISSUES_KLOC_TIME,BUG_ISSUES_TIME,LDC,WMC,DIT,LCOM5,CBO,LLOC
4.0 -> 4.1,2.18,-10.71,-7.61,2.74,1.11,0.0,-1.9,-0.18,3.82
4.1 -> 4.2,1.93,60.0,77.85,2.37,2.33,-2.27,1.94,3.05,12.02
4.2 -> 4.2.1,0.69,-67.5,-68.55,2.82,0.4,0.0,0.0,0.0,0.69
4.2.1-> 4.2.2,0.54,192.31,202.38,0.14,0.67,0.0,0.0,0.17,0.55
4.2.2-> 4.3,0.78,-39.47,-36.36,1.97,0.27,-2.33,-0.63,0.35,3.66
4.3 -> 4.4,0.88,-13.04,-15.19,0.55,0.73,0.0,0.0,1.04,0.67
4.4 -> 4.6,-43.86,70.0,123.61,-43.0,-44.68,56.35,-43.95,-32.71,27.97
4.6 -> 4.7,5.19,-26.47,-22.24,3.13,2.73,-1.52,10.23,0.0,7.41
4.7 -> 4.7.1,0.68,-32.0,-30.89,-1.87,0.35,0.0,0.0,0.51,1.47
4.7.1-> 4.7.2,0.11,-17.65,-18.21,-0.36,0.23,0.0,0.0,0.0,0.19
4.7.2-> 4.8,-0.13,0.0,2.83,1.67,-0.46,-1.03,1.03,0.0,1.65
